id,is_spam
36564,1
36566,1
36568,1
36569,0
36570,0
36571,1
36573,1
36574,1
36575,1
36576,1
36578,1
36580,1
36582,0
36583,0
36587,0
36588,0
36589,0
36590,0
36592,0
36597,0
36599,0
36600,0
36602,0
36603,0
36605,1
36607,0
36608,0
36610,1
36611,0
36613,0
36615,0
36616,0
36617,0
36618,0
36619,0
36620,0
36621,0
36623,0
36626,0
36627,0
36628,1
36630,0
36633,1
36634,1
36635,1
36638,0
36639,0
36640,0
36641,0
36642,0
36644,0
36646,0
36647,0
36648,0
36652,0
36653,0
36654,0
36655,0
36656,0
36657,0
36658,0
36659,0
36660,0
36661,0
36662,0
36663,0
36664,0
